assessment,id,title,text,priority,potential,parent
green,B1-13,"Sachstand 2013","Das seit 1997 bestehende Gütesiegel für vorbildlich sanierte Altbauten ist in 2012 novelliert und in zwei Varianten (Standard und Premium) an die aktuellen Anforderungen der Energieeinsparverordnung breitenwirksam angepasst worden. Jährlich wiederkehrend können sich nunmehr Gebäudeeigentümer mit dem nach der Sanierung ausgestellten Energieausweis für das Gebäudegütesiegel der Stadt Münster bis Anfang September bewerben. In 2012 sind 55 Gebäudegütesiegel vergeben worden.",5,(3),B1
orange,B1-1516,"Sachstand 2015 / 2016","Die Grundidee eines Gütesiegels für gut sanierte Wohngebäude ist nach wie vor ein gutes und wichtiges Instrument für die öffentlichkeitswirksame Werbung zur Sanierung von Wohngebäuden, jedoch ist die Nachfrage durch mögliche Bauherren - trotz intensiver Bewerbung in allen Medien und mit einer Vielzahl an Multiplikatoren - eher gering. In 2013 sind 25, in 2014 sind 40 und in 2015 sind 30 Gütesiegel vergeben worden (vorrangig an Antragsteller aus dem Förderprogramm Altbausanierung und Energieeinsparung der Stadt Münster). In 2016 konnte auf Grund des Personalausfalls (vgl. Ü1) keine Auszeichnung stattfinden.",5,(3),B1
red,B1-1718,"Sachstand 2017 / 2018","Auch im Jahr 2017 konnte auf Grund des Personalausfalls (vgl. Ü1) keine Auszeichnung stattfinden. In 2018 ist eine Auszeichnung für die vorangegangenen Jahre geplant.",5,(3),B1

,B2,"Förderprogramm „Energieeinsparung und Altbausanierung“","Förderprogramm „Energieeinsparung und Altbausanierung“",4,5,B
white,B2-Plan,"geplant","Förderprogramm soll fortgeführt werden. Wichtig ist ein hohes Budget, um Breitenwirkungen zu erzielen. Zudem Weiterentwicklung z.B. Konzentration auf Außenwanddämmung, Innendämmungsqualität, Passivhauselemente, Hemmnis Denkmalschutz, Dachintegration von Solaranlagen",4,5,B2
orange,B2-13,"Sachstand 2013","Mit Ratsbeschluss zum Handlungskonzept 2020 (V/0592/2010 + V/0592/2010/E1) ist die Fortführung des Förderprogrammes mit einem Haushaltsvolumen von 350.000 Euro pro Jahr beschlossen worden. Im Rahmen der Haushaltskonsolidierung 2012 wurden die Mittel für die Jahre 2013 bis 2017 auf jeweils 250.000 Euro reduziert.",4,5,B2
green,B2-1516,"Sachstand 2015 / 2016","Die Haushaltsmittel für das Förderprogramm sind im Jahr 2014 wieder auf 350.000 Euro aufgestockt worden und betragen in folgenden Jahren:<br>2015 -> 400.000 Euro<br>2016 -> 425.000 Euro<br>2017 -> 450.000 Euro<br>2018 -> 500.000 Euro<br>2019 -> 350.000 Euro<br>2020 -> 350.000 Euro<br>Der jährliche Fördertopf war teilweise bereits im Frühjahr ausgeschöpft. Im Jahr 2015 sind Fördermittel in Höhe von 125.000 Euro nicht abgerufen worden, da die bundesweite Negativpresse in Sachen „Dämmwahn“ auch in Münster seine Wirkung gezeigt hat. Im Jahr 2016 sind jedoch wieder alle Fördermittel bis zum Jahresende abgerufen worden. Seit Mitte 2016 erfolgt die Förderung von Photovoltaikanlagen durch ein städtisches Förderprogramm, welches in das Förderprogramm Altbausanierung und Energieeinsparung integriert worden ist (vgl. E6).",4,5,B2
green,B2-1718,"Sachstand 2017 / 2018","Aufgrund der stetigen Pressearbeit sind im Jahr 2017, wie auch im vorangegangenen Jahr, fast alle Fördermittel abgerufen worden. Lediglich 42.000 € sind nicht in Anspruch genommen worden. In 2018 sind bis Juli für die Altbausanierung bereits über 300.000 € abgerufen worden. Im Rahmen der Haushaltsberatungen 2018 sind die Fördermittel für die folgenden Jahre nochmals aufgestockt worden:<br>2019 -> 450.000 Euro<br>2020 -> 450.000 Euro<br>2021 -> 500.000 Euro<br>2022 -> 500.000 Euro",4,5,B2

orange,B3,"Konjunkturprogramm Klimaschutz – 100 Gebäude-Sanierungsprogramm","Konjunkturprogramm Klimaschutz – 100 Gebäude-Sanierungsprogramm",4,(1),B
white,B3-Plan,"geplant","Ergänzend zum Förderprogramm Altbausanierung soll ein „Konjunkturprogramm Klimaschutz“ für 100 Gebäude, die vorbildlich und begleitet von Öffentlichkeitsarbeit optimal energetisch saniert werden, aufgelegt werden.",4,(1),B3
red,B3-13,"Sachstand 2013","Die Maßnahmen „Konjunkturprogramm Klimaschutz – 100 Gebäudesanierungsprogramm“ beschränkt sich auf das öffentlichkeitswirksame Aufzeigen von Sanierungen sowohl in energetischer als auch in wirtschaftlicher Hinsicht, was einen wichtigen Impuls für die Bürger zur Initiierung weiterer Maßnahmen in der Stadt darstellt. Nach Erarbeitung eines entsprechenden Öffentlichkeitskonzeptes konnten bislang zwei Bauvorhaben öffentlichkeitswirksam begleitet werden, die mit jeweils vier Vor-Ort-Terminen von den Bürgern sehr gut angenommen wurden. Im Rahmen der Haushaltskonsolidierung 2012 wurden die Mittel in Höhe von 30.000 Euro gestrichen. In diesem Jahr ist die einfache Begleitung von zwei weiteren Bauvorhaben mit vorhandenen Mittel geplant.",4,(1),B3
orange,B3-1516,"Sachstand 2015 / 2016","In den Jahren 2014 – 2016 sind jährlich zwei bis drei Bauvorhaben öffentlichkeitswirksam mit jeweils zwei Vor-Ort-Terminen umgesetzt worden. Die Besichtigungen der Baustellen sind von den Bürgern weiterhin sehr gut angenommen worden und die positiven Impulse für die Aktivierung der Sanierungstätigkeit in Münster konnten gesetzt werden.",4,(1),B3
orange,B3-1718,"Sachstand 2017 / 2018","Im Jahr 2017 konnten auf Grund des Personalausfalls (vgl. Ü1) keine Vor-Ort-Termine stattfinden. In 2018 sollen wieder zwei Bauvorhaben öffentlichkeitswirksam begleitet und entsprechende Vor-Ort-Termine sowohl für Bürger als auch für Fachpublikum (Wohnungswirtschaft) organsiert werden.",4,(1),B3

red,B4,"Arbeitskreis Mieter/Vermieter","Arbeitskreis Mieter/Vermieter",5,(2),B
white,B4-Plan,"geplant","Der Konflikt zwischen Mieter und Vermieter im Rahmen der Altbausanierung und Energieeinsparung ist dauerhaft und könnte durch einen gezielten Projektansatz deutlich verbessert werden, um auch so weitere Energieeinsparungen zu realisieren.",5,(2),B4
red,B4-13,"Sachstand 2013","Das Projekt ist bislang noch nicht in Angriff genommen worden. Es sollte im Rahmen der Allianz für Klimaschutz aufgenommen werden, wurde von den beteiligten Unternehmen bislang aber noch nicht ausgewählt.",5,(2),B4
red,B4-1516,"Sachstand 2015 / 2016","Kein neuer Sachstand",5,(2),B4
orange,B4-1718,"Sachstand 2017 / 2018","Im Rahmen des Förderprogrammes Kommunaler Klimaschutz NRW wird ab Oktober 2018 ein Modellprojekt zur Beratung und Motivation von privaten „semiprofessionellen“ Vermietern gestartet. Dabei werden die Vermieter anhand von Modellsanierungen durch Vertreterinnen und Vertreter der Wohn- und Stadtbau in den verschiedenen Handlungsfeldern geschult. Das Modellprojekt wird durch ein externes Büro begleitet und dokumentiert. Diese Dokumentation soll in den folgenden Jahren als Grundlage zur Verstetigung dieses Arbeitsfeldes dienen.",5,(2),B4

orange,B5+6,"Technikimpulse „Bauen“ sowie Öffentlichkeitsarbeit Bauen: Neue Bausteine","Technikimpulse „Bauen“ sowie Öffentlichkeitsarbeit Bauen: Neue Bausteine",4,(3),B
white,B5+6-Plan,"geplant","Für einen Zeitraum von 2 -3 Jahren sollte jeweils ein bestimmter technischer Schwerpunkt, wie z.B. hydraul. Abgleich von Heizungen, Wärmepumpe, Lüftungsanlagen und Klimatisierung, kooperativ vorangebracht werden. Eine verstärkte Öffentlichkeitsarbeit kann hier zur Intensivierung der Sanierungstätigkeit führen und dabei eine deutliche Wirkung auf die lokale Wirtschaft haben.",4,(3),B5+6
green,B5+6-13,"Sachstand 2013","Im Jahr 2011/12 wurde das Thema „Die richtige Heizung für mein Haus“ in den Vordergrund gestellt. Dazu wurde die erforderlichen Materialien wie Flyer, Broschüre, Plakat, etc. erarbeitet und im Herbst 2012 eine Themenkampagne mit Ausstellung, Vorträgen und Beratungstagen im Cityshop und in den Stadteilen angeboten. Ergänzend wurde das Thema „Münsters Energiesparhaus“ öffentlichkeitswirksam aufbereitet und in die Beratungsinitiative eingebunden. In 2013 soll das Schwerpunktthema Lüftungsanlagen in Wohngebäuden umgesetzt werden.",4,(3),B5+6
green,B5+6-1516,"Sachstand 2015 / 2016","Die intensive Öffentlichkeitsarbeit zum Themenbereich Bauen und Sanieren ist in den Jahren 2013 bis 2016 von der Klenko erfolgreich fortgeführt worden. In 2013 ist das Schwerpunktthema Lüftungsanlagen in Wohngebäuden umgesetzt worden. In 2014 und 2016 das Thema „Altbausanierung“ und in 2015 das Thema „Neubau“. Dabei sind jeweils in Kampagnenwochen mit Ausstellungen, Beratungsangeboten und Vor-Ort-Terminen teilweise stadtteilbezogen angeboten worden.",4,(3),B5+6
red,B5+6-1718,"Sachstand 2017 / 2018","Im Jahr 2017 konnte auf Grund des Personalausfalls (vgl. Ü1) keine Kampagne stattfinden, es wurde jedoch intensiv für das Förderprogramm Altbausanierung geworben. 2018 liegt der Themenschwerpunkt weiterhin im Bereich der Altbausanierung mit den in B3 beschriebenen Baustellenbesichtigungen.",4,(3),B5+6

red,B7,"Energie und Denkmalschutz","Energie und Denkmalschutz",3,(1),B
white,B7-Plan,"geplant","Aufbauend auf den erarbeiteten Materialien wird ein Vermittlungs- und Beratungsschwerpunkt zu diesem Themenfeld durch spez. Beratung und Öffentlichkeitsarbeit angeboten.",3,(1),B7
orange,B7-13,"Sachstand 2013","Im Dezember 2012 ist das Hearing „Stadt und Klima“ zum Thema Altbausanierung mit unterschiedlichen Sanierungsmöglichkeiten durchgeführt worden, um aufzuzeigen, dass Sanierungen nicht zwingend eine Veränderung der Fassade beinhalten müssen. Im Hearing wurde auch das Thema erhaltenswerter oder denkmalgeschützter Gebäude angesprochen.",3,(1),B7
red,B7-1516,"Sachstand 2015 / 2016","Kein neuer Sachstand",3,(1),B7
red,B7-1718,"Sachstand 2017 / 2018","Kein neuer Sachstand",3,(1),B7

orange,B8,"Passivhausstandard in städt. Grundstücken","Passivhausstandard in städt. Grundstücken",5,-,B
white,B8-Plan,"geplant","Der bisherige Niedrigenergiehausstandard, der durch die EnEV 2009 erreicht worden ist, sollte mit dem Ziel des anspruchsvolleren Passivhausstandards schrittweise fortgeschrieben werden. Trotz geringer Neubautätigkeit sollte Münster seiner Vorreiterrolle weiterhin gerecht werden.",5,-,B8
orange,B8-13,"Sachstand 2013","Mit Ratsbeschluss vom 14.12.2011 (V/0675/2011 sowie V/0675/2011/E1) ist das sogenannte „Energiesparhaus Münster“ mit einer Unterschreitung des Transmissionswärmeverlustes von -35 % gegenüber der Energieeinsparverordnung (EnEV) 2009 eingeführt worden. Eine von der Verwaltung vorgeschlagene Weiterentwicklung ab 2014 in Richtung Passivhausstandard wurde nicht beschlossen. Ein Hearing zur Vorbereitung der Einführung eines Passivhausstandards wurde im Frühjahr 2012 durchgeführt. Mit dem Ergebnis, dass die Novellierung der EnEV abgewartet werden sollte und diese die Grundlage der Anpassung in Anlehnung an das Passivhaus bilden soll.",5,-,B8
red,B8-1516,"Sachstand 2015 / 2016","Im Frühjahr 2015 hat die Verwaltung die Anpassung des bestehenden Wärmedämmstandards für das sog. „Energiesparhaus Münster“ an die EnEV 2014 vorbereitet (V/0092/2015), wobei es inhaltlich sich nicht um eine Verschärfung des Dämmstandards handelte sondern nur um eine verfahrensrechtliche Anpassung an die neue Verordnung der EnEV 2014. Im Rahmen der Beratung der Beschlussvorlage wurden unterschiedliche politische Anträge beschlossen und die Verwaltung beauftragt ein Dialoggespräch zur Klärung der unterschiedlichen Ansätze zu führen. Das Dialoggespräch konnte im April 2016 durchgeführt werden. Ein weiteres Dialoggespräch ist für 2017 geplant, um die Akzeptanz und Notwendigkeit dieser Klimaschutzmaßnahme vor allem bei den Investoren zu stärken. Ziel des weiteren Diskussionsprozesses wird es sein, die Weiterentwicklung der kommunalen Dämmstandards für den Neubau in Richtung Niedrigstenergiegebäude zu starten.",5,-,B8
orange,B8-1718,"Sachstand 2017 / 2018","Im Sommer 2017 ist die oben benannte Vorlage (V/0092/2015) von der Verwaltung zurückgezogen worden und der Dialogprozess aus den vorangegangenen Jahren wurde weiter fortgeführt. Die fachliche Diskussion für die Fortführung der kommunalen Anforderungen ging dabei deutlich in Richtung des KfW-Effizienzhauses 55. Im Juli 2018 ist die entsprechende Vorlage (V/0301/2018) vom Rat der Stadt Münster beschlossen worden, so dass die neuen Anforderungen auf Grundlage des KfW-Effizienzhauses 55 zum 01.08.2018 in Kraft getreten sind.",5,-,B8

green,B9,"Passivhausstandard bei Neubau städtischer Gebäude","Passivhausstandard bei Neubau städtischer Gebäude",5,-,B
white,B9-Plan,"geplant","Einführung eines Passivhausstandards für städtische Neubauten, z.B. Frankfurter Modell prüfen (Wirtschaftlichkeitsprüfung: Nachweis, dass Passivhaus nicht wirtschaftlich ist) oder Aachener Modell mit 20 kWh/m2*a ansetzen.",5,-,B9
green,B9-13,"Sachstand 2013","Die Einführung der Gebäudeleitlinien der Stadt Münster wurde nach ausführlicher politischer Diskussion am 21.03.2012 beschlossen. Für städtische Neubauten gilt damit ein „nahezu Passivhausstandard“ nach dem Vorbild der Stadt Aachen. Auch für die Sanierung von Bestandsbauten wurden bauteilbezogene Grenzwerte festgelegt, die die gesetzlichen Vorgaben erheblich unterschreiten.",5,-,B9
green,B9-1516,"Sachstand 2015 / 2016","Die Leitlinien wurden nach erneuter Diskussion in den politischen Gremien fortgeschrieben, der letzte Stand der Gebäudeleitlinien ist vom 19.03.2014.",5,-,B9
green,B9-1718,"Sachstand 2017 / 2018","Die Maßnahme wird weiterhin konsequent umgesetzt.",5,-,B9


orange,B10,"Energetische Zielwertfestlegung bei Sanierung städt. Gebäude","Energetische Zielwertfestlegung bei Sanierung städt. Gebäude",5,(2),B
white,B10-Plan,"geplant","Ausarbeitung wirkungsvoller Zielwerte für Strom, Wärme und Wasser nach Gebäudetypen sowie Darstellung der Aufgaben und Zuständigkeiten (Leitlinien) für das Energiemanagement (vgl. Dt. Städtetag).",5,(2),B10
orange,B10-13,"Sachstand 2013","Für den Bereich Wärme wurden in den Gebäudeleitlinien der Stadt Münster Zielwerte für den Gebäudebestand definiert. Für Strom und Wasser sind bisher keine Zielwerte formuliert worden. Dieses ist kaum möglich, da sowohl der Wasser- als auch der
Stromverbrauch hauptsächlich von der Nutzung abhängig sind. Die bauliche Ausstattung spielt hier eine geringere Rolle als im Bereich Wärme, hier sind Benchmarks bereits jahrelang in der Anwendung.",5,(2),B10
red,B10-1516,"Sachstand 2015 / 2016","Mit dem Projekt Zählervisualisierung für alle öffentlichen Gebäude wird es möglich sein noch intensiver Stromsparpotentiale zu erkennen. Zielwerte lassen sich ohne die Berücksichtigung der Nutzung nicht definieren. Diese ist auch im Städtetag mehrfach diskutiert und ähnlich beurteilt worden.",5,(2),B10
orange,B10-1718,"Sachstand 2017 / 2018","Die Stadt Münster hat zusammen mit den Stadtwerken Münster in Schulen und Kindertagesstätten im Rahmen eines Pilotprojektes Lastgangzähler für Strom, Wärme und Wasser installiert. Bis Ende 2017 wurden ca. 125 Liegenschaften mit Lastgangzählern ausgestattet. Zurzeit erfolgt eine intensive Überprüfung der ausgelesenen Daten. In einem nächsten Schritt wird geprüft, ob an Hand von Standardlastgängen automatische Abweichungen erkennbar sind und wie die Definition von Zielwerten erfolgen kann. Zudem wird bei zukünftigen Neubauten die Kabelverlegung für die Datenfernauslesung bei der Errichtung direkt berücksichtigt.",5,(2),B10

orange,B11,"Wiedereinführung des EnergiesparIntractings","Wiedereinführung des EnergiesparIntractings",4,(1),B
white,B11-Plan,"geplant","Aufbau eines Programms für rentable Intractingprojekte für die Jahre 2012 bis 2016 (150.000 € pro Jahr)",4,(1),B11
orange,B11-13,"Sachstand 2013","Das Programm wird umgesetzt. Der Schwerpunkt der Investitionen lag im Bereich der Gebäudeautomation. Im Jahr 2012 wurden 139.000,-€ für 8 Projekte verausgabt. Alle Maßnahmen sind wirtschaftlich und führen zu Kapitalrückflusszeiten von unter 10 Jahren. Im Rahmen der Haushaltskonsolidierung 2012 wurden die Mittel für die Jahre 2013 und
2014 auf jeweils 90.000 Euro und für das Jahr 2015 auf 115.000 Euro reduziert.",4,(1),B11
green,B11-1516,"Sachstand 2015 / 2016","Das Programm wird mit neuem Schwerpunkt weitergeführt:<br>1. LED-Beleuchtung in Turnhallen<br>2. LED-Außenbeleuchtung<br>3. Lastgang für alle öffentlichen Gebäude Es konnten erhebliche Drittmittel über Förderprogramme des BMU eingeworben werden.",4,(1),B11
red,B11-1718,"Sachstand 2017 / 2018","Seit 2016 stehen trotz geringer Kapitalrückflusszeiten keine Mittel für Intractingprojekte mehr zur Verfügung. Die durch Fördermittel eingeworbenen Drittmittel dienen der Haushaltskonsolidierung und werden nicht für Intractingprojekte genutzt.",4,(1),B11

orange,B12,"Erhöhung des Personaleinsatzes beim Energiemanagement","Erhöhung des Personaleinsatzes beim Energiemanagement",4,(2),B
white,B12-Plan,"geplant","Die zusätzlichen Kosten für personelle Ressourcen können zu Energiekosteneinsparungen führen, die 5- bis 8-fach höher liegen und damit im Netto-Effekt den städtischen Haushalt entlasten.",4,(2),B12
red,B12-13,"Sachstand 2013","Die beschlossene Personalaufstockung für das Energiemanagement konnte nicht umgesetzt werden. Eine Besetzung aus vorhandenem Personalbestand des Amtes 23 ist nicht umsetzbar, da die Vielzahl zusätzlicher Aufgaben im Amt 23 (U3-Ausbau, Dichtigkeitsprüfung, elektrische Betriebsmittel, Trinkwasserhygiene, etc.) keinerlei personellen Spielraum zur Aufstockung des Energiemanagements zu lassen.",4,(2),B12
red,B12-1516,"Sachstand 2015 / 2016","Nach Stellenvermehrungen im Amt 23 aufgrund der ORGA-Untersuchung ist eine Besetzung der Stelle vorbereitet worden und zum 01.02.2017 umgesetzt worden.",4,(2),B12
green,B12-1718,"Sachstand 2017 / 2018","Durch die am 01.02.2017 befristet eingerichtete Stelle konnten bereits für LED-Beleuchtungssanierungen Fördermittel in Höhe von knapp 300.000 € eingeworben werden. Die Einsparung der Energiekosten beträgt rund 100.000 € jährlich. Zudem wurde im Rahmen des Förderprogramms „KommunalerKlimaschutz.NRW“ ein Projektantrag vorbereitet. Neben einer ganzheitlichen Sanierung die umgesetzt werden soll, wird eine neue Grundschule mit einem PV-Speicher ausgestattet. Der Zuschuss beträgt, vorbehaltlich der noch zu erwartenden Bewilligung, 2,6 Mio. €. Die Stelle soll, vorbehaltlich der politischen Entscheidung zur Umsetzung des Stellenplanentwurfs 2019, dauerhaft eingerichtet werden.",4,(2),B12

red,B13,"Konzepte zur Stromverbrauchsminderung in städt. Gebäuden","Konzepte zur Stromverbrauchsminderung in städt. Gebäuden",3,(2),B
white,B13-Plan,"geplant","Erarbeitung von Stromsparkonzepten für typische Anwendungsfelder (z.B. der Optimierung von PC-Netzwerken in Schulen, Beleuchtung, Pumpen und Lüftung) und durch externe Beratung ergänzen.",3,(2),B13
red,B13-13,"Sachstand 2013","Projekt konnte aus Personalgründen nur ansatzweise begonnen werden. Es wurden Untersuchungen zur Wirtschaftlichkeit von Beleuchtungssystemen durchgeführt. Auch bei externer Vergabe bleibt ein erheblicher Personalaufwand zur Betreuung der mit dem heutigen Personal nicht zu leisten ist. Im Rahmen der Haushaltskonsolidierung 2012 wurden die Mittel ab 2013 eingespart.",3,(2),B13
red,B13-1516,"Sachstand 2015 / 2016","Wird im Rahmen des Intracting-Projektes bearbeitet.",3,(2),B13
orange,B13-1718,"Sachstand 2017 / 2018","Durch die bislang befristet eingerichtete Stelle bei Amt 23 (s. Maßnahme B 12 „Erhöhung des Personaleinsatzes beim Energiemanagement“) wurden Begehungen an Schulen und Kindertagesstätten mit dem Ziel durchgeführt, verbrauchsteigernde Faktoren zu identifizieren und zu beheben. Sollte die unter B 12 aufgeführte Stelle nicht dauerhaft eingerichtet werden, so ist die Aufgabe zukünftig nicht mehr leistbar.",3,(2),B13

red,B14,"Anreizsystem Stromsparen in Münster
(ehemals: Stromsparprämien)","Anreizsystem Stromsparen in Münster
(ehemals: Stromsparprämien)",4,4,B
white,B14-Plan,"geplant","Die Stadtwerke Münster erarbeiten ein Konzept, wie unabhängig von einer Stromsparprämie bestehende Anreize für energiesparendes Verhalten durch einen Boni geben
werden könnten.",4,4,B14
orange,B14-13,"Sachstand 2013","Der Themenkomplex wurde seitens der Stadtwerke Münster GmbH im Rahmen einer Bachelor-Arbeit beleuchtet. Hierbei werden verschiedenste Aktivitäten von Energieversorgern analysiert und auf ihre Anwendbarkeit für die Stadtwerke Münster GmbH bewertet. Im Laufe des Jahres wird die Stadtwerke Münster GmbH eine Energiesparkampagne umsetzen, wobei unter Einbindung der unterschiedlichsten Kommunikationskanäle der Ansatz verfolgt wird, die Anreize zum Energiesparen für die Münsteraner Bürger zu verstärken. Die Ergebnisse der Bachelor-Arbeit fließen in die Kampagne ein.",4,4,B14
red,B14-1516,"Sachstand 2015 / 2016","GRÜNSPAR und die Stadtwerke kooperieren im Rahmen des Projektes Wettbewerbliche Ausschreibungen / „STEP up!“. Mit dem Programm fördert das Bundesministerium für Wirtschaft und Energie ab 2016 Stromeffizienzmaßnahmen für Haushalte und Unternehmen in Deutschland, die in einem Wettbewerb um Förderzuschüsse ermittelt
werden.",4,4,B14
orange,B14-1718,"Sachstand 2017 / 2018","Die Stadtwerke haben sich gemeinsam mit GRÜNSPAR an der Wettbewerblichen Ausschreibung zum Programm „STEP up!“ beteiligt. GRÜNSPAR konnte sich im Rahmen der wettbewerblichen Ausschreibung nicht durchsetzen, sie erhielt keinen Zuschlag im Rahmen des Vergabeverfahrens. Somit konnte keine Umsetzung des Projektes auf Seiten der Stadtwerke erfolgen. Im Weiteren haben die Stadtwerke gemeinsam mit dem Lehrstuhl für Mikroökonomik, insbesondere Energie- und Ressourcenökonomik der WWU ein Kooperationsprojekt gestartet. Im Zuge dieses Projektes wurde die App der Stadtwerke um eine Funktion zu Erfassung des Zählerstandes per Handy-Foto ergänzt. Hierauf aufbauend wird derzeit ein feedbackbasiertes Instrument zur Energieeinsparung getestet. Aktuell haben sich 1.600 App-Nutzer für die Teilnahme an dem Instrument registriert. Ergebnisse hierzu liegen noch nicht vor, diese werden im Rahmen der Forschungsarbeiten des Lehrstuhls analysiert und aufbereitet.",4,4,B14

orange,B15,"Informative Stromrechnung","Informative Stromrechnung",3,(4),B
white,B15-Plan,"geplant","Die Stadtwerke arbeiten seit Jahren an einer Optimierung der Stromrechnungen, um den Informationsgehalt und die Verständlichkeit der Rechnungen zu verbessern. Der Smart Meter als eine weitere Informationsquelle für den energiebewussten Kunden sowie Tarifmodelle mit kürzeren Abrechnungsintervallen werden interessierten Kunden zukünftig noch mehr Informationen zur Verfügung stellen können.",3,(4),B15
orange,B15-13,"Sachstand 2013","Gemäß § 40 des Energiewirtschaftsgesetztes (EnWG) sind Energieversorger verpflichtet „bei Haushaltskunden unter Verwendung von Grafiken darzustellen, wie sich der eigene Jahresverbrauch zu dem Jahresverbrauch von Vergleichsgruppen verhält“. Diese Anforderung ist bei den Stadtwerken Münster umgesetzt. Die Auseinandersetzung der Kunden mit den dargestellten Werten wird durch das Angebot einer kostenlosen Energieeinsparberatung im City Shop der Stadtwerke unterstützt. Das bestehende Smart-Meter Produkt münster:Transparenz ist durch die Einführung der Produktoption Smart Web ersetzt worden. Dabei kann unabhängig vom gewählten Tarif, auf Basis eines Smart Meters eine Stromvisualisierung mittels Internet und Smart Phone erfolgen.",3,(4),B15
orange,B15-1516,"Sachstand 2015 / 2016","Derzeit läuft ein Projekt zur grundlegenden Überarbeitung/ Neugestaltung der Stadtwerke Jahresrechnung. Die Konzeption soll bis Ende 2016 abgeschlossen sein, die Umsetzung wird voraussichtlich Mitte 2017 abgeschlossen sein (abhängig von den konzeptionellen Anforderungen).",3,(4),B15
red,B15-1718,"Sachstand 2017 / 2018","Die Konzeption der Neugestaltung der Stadtwerke-Jahresrechnung ist abgeschlossen. Da die Anforderungen weit über eine reine graphische Neugestaltung hinausgehen, sind mit der Umsetzung z.T. tiefgehende Eingriffe und Anpassungen im Abrechnungssystem erforderlich. Es ist eine marktreife Umsetzung aller konzeptionellen Anforderungen zu einem späteren Zeitpunkt vorgesehen. Die Terminkette für die Umsetzung steht derzeit noch in Abhängigkeit der Rückmeldung von IT-Dienstleistern sowie einzelner Umsetzungsentscheidungen. Ein Endzeitpunkt kann derzeit noch nicht valide benannt werden.",3,(4),B15

orange,G,"Gewerbe, Handel, Dienstl.","Gewerbe, Handel, Dienstl.",5,,

orange,G1,"Energie-Coaching für KMU und deren Fachplaner","Energie-Coaching für KMU und deren Fachplaner",4,(1),G
white,G1-Plan,"geplant","Aufbau eines Pools von Energie-Beratern, die kostenpflichtig für KMU als Spezialisten für Energieeffizienz arbeiten und diese beraten.",4,(1),G1
green,G1-13,"Sachstand 2013","Eine Startberatung „Energieeffizienz für Unternehmen“, die mit einen Zeitrahmen von ca. zwei Stunden vor Ort durch externe Fachingenieure durchgeführt wird, ist entwickelt und umgesetzt worden. Zielsetzung war es, kleine und mittelständische Unternehmen für das Thema Energieeffizienz und Klimaschutz zu sensibilisieren sowie Sparpotenziale und Lösungsansätze aufzuzeigen. Als Pilotprojekt wurde allen 27 Betrieben des Gewerbegebietes „Zum Kaiserbusch“ die Teilnahme angeboten. 12 Betriebe haben das Angebot angenommen. In der zweiten nun folgenden Stufe werden die beratenen Unternehmen noch mal angesprochen und der Umsetzungsstand nachgefragt sowie ggf. Hilfestellung bei der Umsetzung angeboten. In 2013 sollen in den Startberatungen Empfehlungen für ein mögliches Energiecontrolling (G3) einfließen. Eine Auszeichnung der Betriebe mit einem Siegel/Label ist ebenfalls in Planung.",4,(1),G1
red,G1-1516,"Sachstand 2015 / 2016","Nach der Pilotphase wurde das Projekt flächendeckend den Unternehmen in Münster angeboten. Bis Ende 2016 konnten jährlich 10 Startberatungen durchgeführt werden. 2016 konnten trotz intensiver Akquisebemühungen durch den Energieberater (externer Fachingenieur) nur 4 Startberatungen durchgeführt werden. Es ist geplant das Format der Akquise und der Ansprache neu zu überdenken. Die Auszeichnung mit einem Siegel/Label wurde nach einer Aufwand-/Nutzenabwägung verworfen.",4,(1),G1
orange,G1-1718,"Sachstand 2017 / 2018","In 2017 konnte das Projekt aufgrund personeller Engpässe nicht durchgeführt werden, da die zuständige Personalstelle erst Ende des Jahres wieder besetzt werden konnte. 2018 wurde das Ansprache- und Akquiseformat überarbeitet. Statt einer flächendeckenden Ansprache wurde sich auf die Unternehmen im Gewerbegebiet der Loddenheide konzentriert. Gemeinsam mit dem beauftragten Energieberater ist ein Mitarbeiter der Klenko gezielt auf die einzelnen Unternehmen zugegangen und hat diesen die Startberatung Energieeffizienz direkt vor Ort kurz vorgestellt und angeboten. Diese Vorgehensweise hat sich als sehr erfolgreich herausgestellt, so dass in 2018 20 Beratungen durchgeführt werden konnten. Das Angebot und das Anspracheformat soll in dieser Form beibehalten und in den nächsten Jahren in weiteren Gewerbegebieten durchgeführt werden.",4,(1),G1

green,G2,"Netzwerke für Erfahrungsaustausch im Sektor GHD","Netzwerke für Erfahrungsaustausch im Sektor GHD",5,-,G
white,G2-Plan,"geplant","Erfahrungsaustausch zwischen GHD-Unternehmen zu Themen wie Technische Anlagen (z.B. Beleuchtung, Kühlung/ Klimatisierung), Mitarbeitermotivation, Fuhrpark, etc.. Möglicher Bestandteil der geplanten „ Münsters Allianz für Klimaschutz.",5,-,G2
green,G2-13,"Sachstand 2013","Das Projekt ist in „Münsters Allianz für Klimaschutz“ (Ü4) integriert worden. Es sollten keine weiteren neuen Netzwerke oder Foren für Erfahrungsaustausche zusätzlich eingeführt werden, sondern das 2011 gegründete Netzwerk „Münsters Allianz für Klimaschutz“ ausgebaut werden.",5,-,G2
